Designator,Mid X,Mid Y,Rotation,Layer
,56.717767,2.367767,0.0,top
A1,76.187767,28.527767,90.0,bottom
C1,3.817767,25.820418,270.0,bottom
C10,80.817767,15.917767,180.0,top
C11,102.142767,15.817767,0.0,top
C12,4.042767,31.917767,180.0,top
C2,3.817767,16.667767,270.0,bottom
C3,46.317767,40.917767,0.0,top
C4,91.542767,12.417767,180.0,top
C5,58.817767,40.917767,0.0,top
C6,73.817767,40.917767,0.0,top
C7,86.582767,41.085029,0.0,top
C8,15.817767,19.417767,180.0,top
C9,49.627767,15.917767,0.0,top
D1,39.732767,40.867767,180.0,top
D10,90.317767,10.417767,0.0,top
D2,54.122767,40.867767,180.0,top
D3,68.512767,40.867767,180.0,top
D4,82.902767,40.867767,180.0,top
D5,107.317767,15.867767,0.0,top
D6,76.679434,15.867767,0.0,top
D7,46.0411,15.867767,0.0,top
D8,15.402767,15.867767,0.0,top
D9,4.617767,34.367767,0.0,top
ENC1,15.607767,7.197767,0.0,top
ENC2,45.857767,7.197767,0.0,top
ENC3,76.357767,7.197767,0.0,top
ENC4,106.857767,7.197767,0.0,top
ENC5,15.857767,34.197767,0.0,top
J1,29.857767,28.467767,0.0,top
J2,88.817767,4.367767,180.0,bottom
J3,45.492767,34.042767,270.0,bottom
Q1,85.880267,27.417767,180.0,top
R1,25.992767,15.917767,0.0,top
R10,64.3661,9.770267,0.0,top
R11,95.032767,9.770267,0.0,top
R12,95.032767,4.697767,0.0,top
R13,22.317767,25.417767,180.0,top
R14,24.317767,22.917767,180.0,top
R15,33.817767,40.917767,180.0,top
R16,64.3661,4.697767,0.0,top
R17,81.880267,29.267767,90.0,top
R18,81.880267,26.267767,90.0,top
R19,54.717767,24.617767,0.0,top
R2,56.492767,15.917767,0.0,top
R20,58.217767,24.617767,0.0,top
R3,89.817767,15.917767,0.0,top
R4,115.992767,15.917767,0.0,top
R5,26.857767,41.085029,0.0,top
R6,3.032767,8.917767,0.0,top
R7,3.767767,6.617767,90.0,top
R8,33.699434,9.770267,0.0,top
R9,33.699434,3.917767,0.0,top
